LibriVox_id,Title_updated,Recording_Uploaded,LJ_Sections,LJ_Duration
20996,"The World's Famous Orations, Vol. VIII: America—I",4-22-25,10,3h 2m 28s
15167,An American Vendetta: A Story of Barbarism in the United States,8-17-20,4,47m 51s
15330,The National Geographic Magazine Vol. 09 - 04. April 1898,7-31-20,3,1h 17m 1s
14442,,12-29-19,17,8h 5m 27s
3246,The History of Australia and New Zealand from 1606 to 1890,11-25-19,11,3h 50m 42s
10961,,9-9-19,5,2h 21m 20s
13726,The Privilege of Pain,7-8-19,3,29m 16s
13401,,3-24-19,5,1h 46m 20s
13379,,3-12-19,10,3h 15m 22s
13391,The Story of a Loaf of Bread,1-12-19,2,1h 4m 9s
13536,,12-5-18,5,40m 3s
6807,,10-6-18,2,56m 7s
11716,,8-30-18,7,2h 16m 3s
12726,A Raw Youth,8-4-18,7,6h 21m 54s
12931,An Account of Egypt,7-19-18,1,27m 37s
12828,,7-15-18,3,55m 36s
12035,,6-7-18,6,2h 4m 57s
12723,,5-23-18,12,5h 55m
12453,The American Language,1-21-18,12,3h 59m 29s
8433,,11-19-17,16,11h 38m 45s
11845,,9-24-17,11,2h 29m 3s
11781,The Old Old Fairy Tales,7-30-17,2,1h 25m 28s
11962,,7-14-17,7,2h 46m 6s
10452,,7-13-17,2,1h 0m 3s
10682,The Mysteries of London Vol. II,6-10-17,12,5h 17m 45s
11661,The Fireside Chats,5-25-17,4,1h 25m 4s
11846,,5-24-17,2,23m 11s
6354,The Seven Wonders of the Ancient World,4-12-17,1,1h 0m 49s
11201,The Science - History of the Universe Vol. 5: Biology,3-31-17,6,2h 2m 38s
11336,,1-1-17,22,4h 31m 28s
11297,,12-15-16,22,10h 59m 48s
10960,The Dreamer of Dreams,12-13-16,6,1h 45m 18s
11359,The Death Ship,12-8-16,26,6h 49m 16s
11023,The Chronicles of Newgate Vol 2,11-12-16,18,11h 50m 34s
11121,,10-4-16,12,1h 41m 39s
9000,,10-3-16,3,56m 54s
11273,The Outcry,9-25-16,12,4h 3m 8s
10996,,9-4-16,19,5h 32m 46s
